sa254,IFNB1_Extracellular_ligands,s379,IFNB1_Extracellular_ligands
sa259,HDAC3,s385,HDAC3
sa261,STAT1,s384,HDAC3
sa267,IFNA_Secreted_molecules,s399,(TLR7/ssRNA_complex|CpG_DNA/TLR9_complex|IRF3|IRF5_nucleus|IRF7_nucleus)
sa268,IFNB1_Secreted_molecules,s400,(IRF7_nucleus|IRF1_nucleus|IRF5_nucleus)
sa269,PI3K,s408,(IFNA/IFNAR_complex|TLR3/dsRNA/PolyIC_complex|CX3CL1/CX3CR1_complex|PTK2|IFNB/IFNAR_complex)&!PTPN6
sa291,JAK3_phosphorylated,s433,(IL7/IL7R_complex|IL2/IL2R_complex|IL21/IL21R_complex|IL15R_complex)&!PTK2B&!SOCS2&!SOCS1&!SOCS3
sa297,STAT5A/B_phosphorylated,s436,JAK3_phosphorylated
sa301,T_Cell_Activation/Differentiation_phenotype,s439,"(TOX|CD40_rna|CD80,86|ICAM1_rna|IL2|IL4|IL5|IL1B|IL12|IL15|IL21)"
sa303,TOX,s441,STAT1 homodimer_phosphorylated
sa317,STAT4_phosphorylated,s463,JAK2_phosphorylated
sa334,SYK_phosphorylated,s486,(LYN_phosphorylated|Ag/IgG/FCGR1A_complex|Ag/IgG/FCGR2A_complex|Ag/IgG/FCGR3A_complex)&!PTPN6&!MHC1/B2M/LILR_complex
sa335,LYN_phosphorylated,s487,(BCR_complex|Allergen/IgE/FCERI_complex)&!sialic_acid/CD22_complex
sa336,"PI(4,5)P2_simple_molecule",s488,"PI(4,5)P2_simple_molecule"
sa337,"PI(3,4,5)P3_simple_molecule",s489,"(PLCG|PLCB|PI3K)&PI(4,5)P2_simple_molecule&!PTEN"
sa342,BTK_phosphorylated,s492,BLNK_phosphorylated&!PTPN6
sa347,DAG_simple_molecule,s497,"(PLCG|PLCB|PI3K)&PI(4,5)P2_simple_molecule&!PTEN"
sa362,ca2_ion,s511,PIP3/IP3R_complex
sa363,CALM1,s517,CALM1
sa367,RCAN,s521,Calmodulin/Ca2+_complex
sa373,B_Cell_Activation/Survival_phenotype,s527,"(TNFSF13B_Secreted_molecules|NFATC1,2,3|GLUT1|IL1B|IL2|IL4|IL5|IL10|IL21)"
sa383,SOCS1,s544,SOCS2_rna
sa408,KPNB1,s569,KPNB1
sa417,STAT1 homodimer_phosphorylated,s2180,STAT1_phosphorylated
sa419,IP6K2_rna,s579,STAT1/STAT2/IRF9_complex_nucleus
sa420,ISG20_rna,s580,STAT1/STAT2/IRF9_complex_nucleus
sa421,ADAR_rna,s581,STAT1/STAT2/IRF9_complex_nucleus
sa422,ISG15_rna,s582,STAT1/STAT2/IRF9_complex_nucleus
sa423,OAS1_rna,s583,(STAT1/STAT2/IRF9_complex_nucleus|STAT1 homodimer_phosphorylated)
sa424,OAS2_rna,s584,(STAT1/STAT2/IRF9_complex_nucleus|STAT1 homodimer_phosphorylated)
sa425,OAS3_rna,s585,(STAT1/STAT2/IRF9_complex_nucleus|STAT1 homodimer_phosphorylated)
sa426,OASL_rna,s586,(STAT1/STAT2/IRF9_complex_nucleus|STAT1 homodimer_phosphorylated)
sa427,RSAD2_rna,s587,(STAT1/STAT2/IRF9_complex_nucleus|CD40LG/CD40_complex|TLR3/dsRNA/PolyIC_complex|TLR7/ssRNA_complex|PRMT5)
