alias_id,species_id,biological_name
sa413,s574,HLA-H
sa415,s576,STAT1 homodimer
sa417,s2180,STAT1 homodimer
sa419,s579,IP6K2
sa420,s580,ISG20
sa421,s581,ADAR
sa422,s582,ISG15
sa423,s583,OAS1
sa424,s584,OAS2
sa425,s585,OAS3
sa426,s586,OASL
sa427,s587,RSAD2
sa428,s588,IFI35
sa429,s589,IFIT2
sa43,s63,IFNG
sa430,s590,IFIT3
sa431,s591,IFIT5
sa432,s592,MX1
sa433,s593,MX2
sa434,s594,IFITM1
sa435,s595,IFITM2
sa436,s596,IFITM3
sa437,s597,GBP2
sa438,s598,XAF1
sa439,s599,IFI6
sa440,s600,BST2
sa441,s601,IFIT1
sa442,s602,EIF2AK2
sa443,s603,HLA-A
sa444,s604,HLA-B
sa445,s605,HLA-C
sa446,s606,HLA-G
sa447,s607,HLA-H
sa448,s608,IP6K2
sa449,s609,ISG20
sa45,s76,JAK2
sa450,s610,ADAR
sa451,s611,ISG15
sa452,s612,OAS1
sa453,s613,OAS2
sa454,s614,OAS3
sa455,s615,OASL
sa456,s616,RSAD2
sa457,s617,IFI35
sa458,s618,IFIT2
sa459,s619,IFIT3
sa460,s620,IFIT5
sa463,s623,IFITM1
sa464,s624,IFITM2
sa465,s625,IFITM3
sa468,s628,IFI6
sa470,s630,IFIT1
sa471,s631,EIF2AK2
sa477,s637,STAT5 homodimer
sa478,s2181,STAT5 homodimer
sa479,s639,CISH
sa480,s640,SOCS1
sa481,s641,SOCS2
sa482,s642,CISH
sa483,s643,SOCS1
sa484,s644,SOCS2
sa487,s647,IRF5
sa488,s648,IRF7
sa489,s649,IRF9
sa491,s651,IRF1
sa492,s652,IRF1
sa493,s653,IRF5
sa494,s654,IRF7
sa495,s655,IRF9
sa496,s656,IRF1
sa497,s657,IRF5
sa5,s55,TYK2
sa500,s658,MHC_Class_1_Activation
sa501,s660,IFI30
sa502,s661,IFI30
sa503,s664,IFI30
sa504,s666,STAT1 homodimer
sa505,s2182,PTPN2
sa506,s667,HLA-DRB4
sa507,s668,HLA-DRA
sa508,s669,HLA-DQA1
sa509,s670,HLA-DQA2
sa51,s93,s93
sa510,s671,HLA-DRB4
sa511,s672,HLA-DRA
sa512,s673,HLA-DQA1
sa513,s674,HLA-DQA2
sa518,s679,MHC_Class_2_Activation
sa519,s680,FCGR1A
sa52,s94,s94
sa520,s681,FCGR1BP
sa521,s682,PML
sa522,s683,SP100
sa523,s684,NCAM1
sa524,s685,MT2A
sa525,s686,GBP1
sa527,s687,GBP3
sa528,s688,GBP4
sa530,s689,GBP5
sa531,s690,GBP6
sa532,s691,TRIM14
sa533,s692,TRIM21
sa534,s693,TRIM22
sa535,s694,TRIM25
sa536,s695,TRIM34
sa537,s696,TRIM5
sa538,s697,TRIM6
sa539,s698,NCAM1
sa54,s95,JAK2
sa540,s699,PML
sa541,s700,SP100
sa542,s701,FCGR1A
sa543,s702,FCGR1BP
sa544,s703,MT2A
sa545,s704,GBP4
sa546,s705,GBP5
sa547,s706,GBP6
sa548,s707,GBP3
sa549,s708,GBP1
sa55,s376,s376
sa550,s709,TRIM5
sa551,s710,TRIM6
sa552,s711,TRIM14
sa553,s712,TRIM21
sa554,s713,TRIM22
sa555,s714,TRIM25
sa556,s715,TRIM34
sa558,s722,NCAM1
sa559,s723,PML
sa56,s375,s375
sa560,s2243,SP100
sa562,s726,FCGR1BP
sa566,s728,MT2A
sa575,s735,TRIM5
sa576,s736,TRIM6
sa577,s737,TRIM14
sa578,s738,TRIM21
sa579,s739,TRIM22
sa580,s740,TRIM25
sa581,s741,TRIM34
sa584,s745,s745
sa585,s746,s746
sa586,s747,ITPR3
sa587,s748,s748
sa593,s753,s753
sa594,s755,s755
sa595,s757,s757
sa597,s761,s761
sa598,s762,s762
sa599,s763,TIRAP
sa6,s57,s57
sa600,s764,TIRAP
sa601,s765,EIF2AK2 homodimer
sa602,s766,TARBP2
sa603,s768,PTPN2
sa604,s769,PTPN2
sa605,s765,EIF2AK2 homodimer
sa608,s772,ADAR1 homodimer
sa609,s773,MAP2K6
sa610,s775,MAP2K6
sa612,s2184,STAT4 homodimer
sa613,s778,STAT4 homodimer
sa616,s782,UBA7
sa621,s787,UBE2L6
sa625,s1504,ISG15
sa627,s793,HERC5
sa628,s794,TLR5
sa629,s796,flagellin
sa630,s797,s797
sa631,s798,s798
sa633,s800,TICAM2
sa634,s801,TICAM2
sa637,s2039,s2039
sa638,s2040,s2040
sa641,s2009,s2009
sa642,s2010,s2010
sa646,s2041,s2041
sa647,s2011,s2011
sa649,s824,s824
sa65,s97,TNFSF13B
sa650,s823,s823
sa651,s2033,s2033
sa652,s2034,s2034
sa653,s2035,s2035
sa655,s2015,s2015
sa656,s2016,s2016
sa657,s2017,s2017
sa659,s843,MAP2K3
sa66,s98,TNFSF13
sa660,s1678,MAP2K3
sa663,s847,RIPK3
sa664,s848,Regulated_Necrosis
sa665,s849,RIPK1
sa666,s850,FADD
sa667,s851,CASP8
sa668,s1816,FADD
sa671,s852,Apoptosis
sa678,s862,XCR1
sa68,s100,TNFRSF13B
sa682,s867,CXCR1
sa683,s868,CXCL6
sa684,s1896,s1896
sa685,s1897,s1897
sa686,s878,CXCR2
sa687,s1961,s1961
sa688,s1907,s1907
sa689,s1904,s1904
sa69,s289,s289
sa690,s1905,s1905
sa691,s879,CXCL5
sa693,s1748,CXCR3
